d,t,Capacity
34,3,1018957
34,4,1018957
34,5,1018957
34,6,1018957
34,7,1018957
34,8,1018957
34,9,1018957
34,10,1018957
34,11,1018957
34,12,1018957
35,1,2985782
35,2,2985782
35,3,2985782
35,4,2985782
35,5,2985782
35,6,2985782
35,7,2985782
35,8,2985782
35,9,2985782
35,10,2985782
35,11,2985782
35,12,2985782
36,1,2772512
36,2,2772512
36,3,2772512
36,4,2772512
36,5,2772512
36,6,2772512
36,7,2772512
36,8,2772512
36,9,2772512
36,10,2772512
36,11,2772512
36,12,2772512
37,1,5047393
37,2,5047393
37,3,5047393
37,4,5047393
37,5,5047393
37,6,5047393
37,7,5047393
37,8,5047393
37,9,5047393
37,10,5047393
37,11,5047393
37,12,5047393
38,1,2985782
38,2,2985782
38,3,2985782
38,4,2985782
38,5,2985782
38,6,2985782
38,7,2985782
38,8,2985782
38,9,2985782
38,10,2985782
38,11,2985782
38,12,2985782
