i,j,t,demand
9,3,10,32
9,3,11,32
9,3,12,32
10,1,1,13015
10,1,2,13015
10,1,3,13015
10,1,4,13015
10,1,5,13015
10,1,6,13015
10,1,7,13015
10,1,8,13015
10,1,9,13015
10,1,10,13015
10,1,11,13015
10,1,12,13015
10,2,1,2025
10,2,2,2025
10,2,3,2025
10,2,4,2025
10,2,5,2025
10,2,6,2025
10,2,7,2025
10,2,8,2025
10,2,9,2025
10,2,10,2025
10,2,11,2025
10,2,12,2025
10,3,1,32
10,3,2,32
10,3,3,32
10,3,4,32
10,3,5,32
10,3,6,32
10,3,7,32
10,3,8,32
10,3,9,32
10,3,10,32
10,3,11,32
10,3,12,32
11,1,1,5407
11,1,2,5407
11,1,3,5407
11,1,4,5407
11,1,5,5407
11,1,6,5407
11,1,7,5407
11,1,8,5407
11,1,9,5407
11,1,10,5407
11,1,11,5407
11,1,12,5407
11,2,1,842
11,2,2,842
11,2,3,842
11,2,4,842
11,2,5,842
11,2,6,842
11,2,7,842
11,2,8,842
11,2,9,842
11,2,10,842
11,2,11,842
11,2,12,842
11,3,1,14
11,3,2,14
11,3,3,14
11,3,4,14
11,3,5,14
11,3,6,14
11,3,7,14
11,3,8,14
11,3,9,14
11,3,10,14
11,3,11,14
11,3,12,14
12,1,1,5407
12,1,2,5407
12,1,3,5407
12,1,4,5407
12,1,5,5407
12,1,6,5407
12,1,7,5407
12,1,8,5407
12,1,9,5407
12,1,10,5407
12,1,11,5407
12,1,12,5407
12,2,1,842
12,2,2,842
12,2,3,842
12,2,4,842
12,2,5,842
12,2,6,842
12,2,7,842
12,2,8,842
12,2,9,842
12,2,10,842
12,2,11,842
12,2,12,842
12,3,1,14
12,3,2,14
12,3,3,14
12,3,4,14
12,3,5,14
12,3,6,14
12,3,7,14
12,3,8,14
12,3,9,14
12,3,10,14
12,3,11,14
12,3,12,14
13,1,1,5407
13,1,2,5407
13,1,3,5407
13,1,4,5407
13,1,5,5407
13,1,6,5407
13,1,7,5407
13,1,8,5407
13,1,9,5407
13,1,10,5407
13,1,11,5407
13,1,12,5407
13,2,1,842
13,2,2,842
13,2,3,842
13,2,4,842
13,2,5,842
13,2,6,842
13,2,7,842
13,2,8,842
13,2,9,842
13,2,10,842
13,2,11,842
13,2,12,842
13,3,1,14
13,3,2,14
13,3,3,14
13,3,4,14
13,3,5,14
13,3,6,14
13,3,7,14
13,3,8,14
13,3,9,14
13,3,10,14
13,3,11,14
13,3,12,14
14,1,1,5407
14,1,2,5407
14,1,3,5407
14,1,4,5407
14,1,5,5407
14,1,6,5407
14,1,7,5407
14,1,8,5407
14,1,9,5407
14,1,10,5407
14,1,11,5407
14,1,12,5407
14,2,1,842
14,2,2,842
14,2,3,842
14,2,4,842
14,2,5,842
14,2,6,842
14,2,7,842
14,2,8,842
14,2,9,842
14,2,10,842
14,2,11,842
14,2,12,842
14,3,1,14
14,3,2,14
14,3,3,14
14,3,4,14
14,3,5,14
14,3,6,14
14,3,7,14
14,3,8,14
14,3,9,14
14,3,10,14
14,3,11,14
14,3,12,14
15,1,1,5407
15,1,2,5407
15,1,3,5407
15,1,4,5407
15,1,5,5407
15,1,6,5407
15,1,7,5407
15,1,8,5407
15,1,9,5407
15,1,10,5407
15,1,11,5407
15,1,12,5407
15,2,1,842
15,2,2,842
15,2,3,842
15,2,4,842
15,2,5,842
15,2,6,842
15,2,7,842
15,2,8,842
15,2,9,842
15,2,10,842
15,2,11,842
15,2,12,842
15,3,1,14
15,3,2,14
15,3,3,14
15,3,4,14
15,3,5,14
15,3,6,14
15,3,7,14
15,3,8,14
15,3,9,14
15,3,10,14
15,3,11,14
15,3,12,14
16,1,1,5407
16,1,2,5407
16,1,3,5407
16,1,4,5407
16,1,5,5407
16,1,6,5407
16,1,7,5407
16,1,8,5407
16,1,9,5407
16,1,10,5407
16,1,11,5407
16,1,12,5407
16,2,1,842
16,2,2,842
16,2,3,842
16,2,4,842
16,2,5,842
16,2,6,842
16,2,7,842
16,2,8,842
16,2,9,842
16,2,10,842
16,2,11,842
16,2,12,842
16,3,1,14
16,3,2,14
16,3,3,14
16,3,4,14
16,3,5,14
16,3,6,14
16,3,7,14
16,3,8,14
16,3,9,14
16,3,10,14
16,3,11,14
16,3,12,14
17,1,1,9799
17,1,2,9799
17,1,3,9799
17,1,4,9799
17,1,5,9799
17,1,6,9799
17,1,7,9799
17,1,8,9799
17,1,9,9799
17,1,10,9799
17,1,11,9799
17,1,12,9799
17,2,1,1525
17,2,2,1525
17,2,3,1525
17,2,4,1525
17,2,5,1525
17,2,6,1525
17,2,7,1525
17,2,8,1525
17,2,9,1525
17,2,10,1525
17,2,11,1525
17,2,12,1525
17,3,1,24
17,3,2,24
17,3,3,24
17,3,4,24
17,3,5,24
17,3,6,24
17,3,7,24
17,3,8,24
17,3,9,24
17,3,10,24
17,3,11,24
17,3,12,24
18,1,1,9799
18,1,2,9799
18,1,3,9799
18,1,4,9799
18,1,5,9799
18,1,6,9799
18,1,7,9799
18,1,8,9799
