,Name,Value
157,"H_nurses_it[1,53]",6.0
158,"F_nurses_it[1,53]",-0.0
159,"N_nurses_it[1,54]",6.0
160,"H_nurses_it[1,54]",6.0
161,"F_nurses_it[1,54]",-0.0
162,"N_nurses_it[1,55]",6.0
163,"H_nurses_it[1,55]",6.0
164,"F_nurses_it[1,55]",-0.0
165,"N_nurses_it[1,56]",6.0
166,"H_nurses_it[1,56]",6.0
167,"F_nurses_it[1,56]",-0.0
168,"N_nurses_it[1,57]",6.0
169,"H_nurses_it[1,57]",6.0
170,"F_nurses_it[1,57]",-0.0
171,"N_nurses_it[1,58]",6.0
172,"H_nurses_it[1,58]",6.0
173,"F_nurses_it[1,58]",-0.0
174,"N_nurses_it[1,59]",6.0
175,"H_nurses_it[1,59]",6.0
176,"F_nurses_it[1,59]",-0.0
177,"N_nurses_it[1,60]",7.0
178,"H_nurses_it[1,60]",7.0
179,"F_nurses_it[1,60]",-0.0
180,"N_nurses_it[1,61]",7.0
181,"H_nurses_it[1,61]",7.0
182,"F_nurses_it[1,61]",-0.0
183,"N_nurses_it[1,62]",7.0
184,"H_nurses_it[1,62]",7.0
185,"F_nurses_it[1,62]",-0.0
186,"N_nurses_it[1,63]",7.0
187,"H_nurses_it[1,63]",7.0
188,"F_nurses_it[1,63]",-0.0
189,"N_nurses_it[1,64]",7.0
190,"H_nurses_it[1,64]",7.0
191,"F_nurses_it[1,64]",-0.0
192,"N_nurses_it[1,65]",7.0
193,"H_nurses_it[1,65]",7.0
194,"F_nurses_it[1,65]",-0.0
195,"N_nurses_it[1,66]",7.0
196,"H_nurses_it[1,66]",7.0
197,"F_nurses_it[1,66]",-0.0
198,"N_nurses_it[1,67]",7.0
199,"H_nurses_it[1,67]",7.0
200,"F_nurses_it[1,67]",-0.0
201,"N_nurses_it[1,68]",7.0
202,"H_nurses_it[1,68]",7.0
203,"F_nurses_it[1,68]",-0.0
204,"N_nurses_it[1,69]",7.0
205,"H_nurses_it[1,69]",7.0
206,"F_nurses_it[1,69]",-0.0
207,"N_nurses_it[1,70]",7.0
208,"H_nurses_it[1,70]",7.0
209,"F_nurses_it[1,70]",-0.0
210,"N_nurses_it[1,71]",7.0
211,"H_nurses_it[1,71]",7.0
212,"F_nurses_it[1,71]",-0.0
213,"N_nurses_it[1,72]",7.0
214,"H_nurses_it[1,72]",7.0
215,"F_nurses_it[1,72]",-0.0
216,"N_nurses_it[1,73]",7.0
217,"H_nurses_it[1,73]",7.0
218,"F_nurses_it[1,73]",-0.0
219,"N_nurses_it[1,74]",7.0
220,"H_nurses_it[1,74]",7.0
221,"F_nurses_it[1,74]",-0.0
222,"N_nurses_it[1,75]",7.0
223,"H_nurses_it[1,75]",7.0
224,"F_nurses_it[1,75]",-0.0
225,"N_nurses_it[1,76]",7.0
226,"H_nurses_it[1,76]",7.0
227,"F_nurses_it[1,76]",-0.0
228,"N_nurses_it[1,77]",7.0
229,"H_nurses_it[1,77]",7.0
230,"F_nurses_it[1,77]",-0.0
231,"N_nurses_it[1,78]",7.0
232,"H_nurses_it[1,78]",7.0
233,"F_nurses_it[1,78]",-0.0
234,"N_nurses_it[1,79]",7.0
235,"H_nurses_it[1,79]",7.0
236,"F_nurses_it[1,79]",-0.0
237,"N_nurses_it[1,80]",7.0
238,"H_nurses_it[1,80]",7.0
239,"F_nurses_it[1,80]",-0.0
240,"N_nurses_it[1,81]",7.0
241,"H_nurses_it[1,81]",7.0
242,"F_nurses_it[1,81]",-0.0
243,"N_nurses_it[1,82]",7.0
244,"H_nurses_it[1,82]",7.0
245,"F_nurses_it[1,82]",-0.0
246,"N_nurses_it[1,83]",7.0
247,"H_nurses_it[1,83]",7.0
248,"F_nurses_it[1,83]",-0.0
