i,t,Capacity
38,12,125000
39,1,125000
39,2,125000
39,3,125000
39,4,125000
39,5,125000
39,6,125000
39,7,125000
39,8,125000
39,9,125000
39,10,125000
39,11,125000
39,12,125000
40,1,345000
40,2,345000
40,3,345000
40,4,345000
40,5,345000
40,6,345000
40,7,345000
40,8,345000
40,9,345000
40,10,345000
40,11,345000
40,12,345000
41,1,345000
41,2,345000
41,3,345000
41,4,345000
41,5,345000
41,6,345000
41,7,345000
41,8,345000
41,9,345000
41,10,345000
41,11,345000
41,12,345000
42,1,345000
42,2,345000
42,3,345000
42,4,345000
42,5,345000
42,6,345000
42,7,345000
42,8,345000
42,9,345000
42,10,345000
42,11,345000
42,12,345000
43,1,345000
43,2,345000
43,3,345000
43,4,345000
43,5,345000
43,6,345000
43,7,345000
43,8,345000
43,9,345000
43,10,345000
43,11,345000
43,12,345000
44,1,125000
44,2,125000
44,3,125000
44,4,125000
44,5,125000
44,6,125000
44,7,125000
44,8,125000
44,9,125000
44,10,125000
44,11,125000
44,12,125000
45,1,450000
45,2,450000
45,3,450000
45,4,450000
45,5,450000
45,6,450000
45,7,450000
45,8,450000
45,9,450000
45,10,450000
45,11,450000
45,12,450000
46,1,170000
46,2,170000
46,3,170000
46,4,170000
46,5,170000
46,6,170000
46,7,170000
46,8,170000
46,9,170000
46,10,170000
46,11,170000
46,12,170000
47,1,310000
47,2,310000
47,3,310000
47,4,310000
47,5,310000
47,6,310000
47,7,310000
47,8,310000
47,9,310000
47,10,310000
47,11,310000
47,12,310000
48,1,450000
48,2,450000
48,3,450000
48,4,450000
48,5,450000
48,6,450000
48,7,450000
48,8,450000
48,9,450000
48,10,450000
48,11,450000
48,12,450000
49,1,125000
49,2,125000
49,3,125000
49,4,125000
49,5,125000
49,6,125000
49,7,125000
49,8,125000
49,9,125000
49,10,125000
49,11,125000
49,12,125000
50,1,265000
50,2,265000
50,3,265000
50,4,265000
50,5,265000
50,6,265000
50,7,265000
50,8,265000
50,9,265000
50,10,265000
50,11,265000
50,12,265000
51,1,345000
51,2,345000
51,3,345000
51,4,345000
51,5,345000
51,6,345000
51,7,345000
51,8,345000
51,9,345000
51,10,345000
51,11,345000
51,12,345000
52,1,230000
52,2,230000
52,3,230000
52,4,230000
52,5,230000
52,6,230000
52,7,230000
52,8,230000
52,9,230000
52,10,230000
52,11,230000
52,12,230000
53,1,450000
53,2,450000
53,3,450000
53,4,450000
53,5,450000
53,6,450000
53,7,450000
53,8,450000
53,9,450000
53,10,450000
53,11,450000
53,12,450000
