,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
,DVS/DVS,"Araria , Bihar, India","Arwal , Bihar, India","Aurangabad , Bihar, India","Banka , Bihar, India","Begusarai , Bihar, India","Bhagalpur , Bihar, India","Bhojpur , Bihar, India","Buxar , Bihar, India","Darbhanga , Bihar, India","East Champaran , Bihar, India","Gaya , Bihar, India","Gopalganj , Bihar, India","Jamui , Bihar, India","Jehanabad , Bihar, India","Kaimur , Bihar, India","Katihar , Bihar, India","Khagaria , Bihar, India","Kishanganj , Bihar, India","Lakhisarai , Bihar, India","Madhepura , Bihar, India","Madhubani , Bihar, India","Munger , Bihar, India","Muzaffarpur , Bihar, India","Nalanda , Bihar, India","Nawada , Bihar, India","Patna , Bihar, India","Purnia , Bihar, India","Rohtas , Bihar, India","Saharsa , Bihar, India","Samastipur , Bihar, India","Saran , Bihar, India","Sheikhpura , Bihar, India","Sheohar , Bihar, India","Sitamarhi , Bihar, India","Siwan , Bihar, India","Supaul , Bihar, India","Vaishali , Bihar, India","West Champaran , Bihar, India"
23,"Muzaffarpur , Bihar, India",247.498,140.729,211.019,283.432,120.103,245.876,126.756,187.815,69.174,79.11,172.3,133.356,178.561,122.251,259.73,319.547,162.176,318.888,147.787,221.393,100.579,193.236,0,154.889,179.733,84.158,298.408,283.977,162.506,60.476,100.242,172.342,52.018,57.312,134.876,191.174,39.962,162.694
19,"Lakhisarai , Bihar, India",244.199,154.895,217.966,135.841,51.741,112.88,185.986,258.811,142.834,226.555,127.667,280.801,30.97,122.318,308.225,198.067,93.814,265.778,0,173.578,188.815,51.493,148.406,76.139,78.954,143.51,203.671,318.593,180.691,101.927,233.958,25.587,199.463,204.757,252.347,208.345,183.111,310.139
13,"Jamui , Bihar, India",239.767,179.717,218.189,107.997,82.515,108.448,223.004,295.829,173.608,257.329,132.044,311.575,0,147.14,308.448,193.635,124.588,261.346,31.098,204.352,219.589,82.267,179.18,100.961,76.291,168.332,199.239,318.816,211.465,132.701,273.536,50.409,230.237,235.531,291.925,239.119,210.026,340.913
30,"Samastipur , Bihar, India",235.577,152.274,222.564,237.344,74.015,181.613,138.301,211.126,42.677,138.708,183.845,192.954,132.473,133.796,271.275,231.6,94.728,306.967,101.699,123.283,88.658,147.148,60.559,153.822,160.665,95.703,286.487,295.522,101.382,0,155.544,126.254,111.616,116.91,190.178,179.253,95.264,222.292
12,"Gopalganj , Bihar, India",376.121,184.97,255.26,417.382,254.053,379.826,145.904,177.281,197.797,80.956,247.471,0,312.511,187.146,246.56,448.17,296.126,447.511,281.737,350.016,229.202,327.186,134.274,230.06,254.904,143.684,427.031,320.32,291.129,194.426,74.017,261.314,118.015,185.935,43.976,319.797,116.949,83.578
33,"Sheohar , Bihar, India",288.889,191.602,261.892,334.305,170.976,296.749,170.13,239.429,110.565,62.841,223.173,117.087,229.434,173.124,303.104,360.938,213.049,360.279,198.66,262.784,104.471,244.109,51.197,205.762,230.606,135.031,339.799,334.85,203.897,111.349,128.863,223.215,0,26.424,138.59,232.565,91.576,137.541
5,"Begusarai , Bihar, India",222.46,194.329,264.619,171.52,0,126.341,177.502,250.327,114.785,198.506,162.373,252.752,82.025,148.324,310.476,176.328,42.641,244.039,51.251,122.405,127.413,96.7,120.357,103.374,110.217,133.792,181.932,337.577,129.518,73.878,205.909,75.806,171.414,176.708,224.298,157.172,155.062,282.09
34,"Sitamarhi , Bihar, India",287.22,197.722,268.012,340.425,177.096,302.869,183.749,244.808,108.896,80.509,229.293,143.512,235.554,179.244,316.723,359.269,219.169,358.61,204.78,261.115,74.82,250.229,57.317,211.882,236.726,141.151,338.13,340.97,202.228,117.469,157.235,229.335,26.424,0,165.015,230.896,96.955,159.337
22,"Munger , Bihar, India",199.971,206.294,269.365,103.784,97.198,68.652,231.443,304.268,188.291,272.012,179.066,326.258,82.275,173.717,364.417,153.839,139.271,221.55,51.501,161.051,234.272,0,193.863,127.538,130.353,187.733,159.443,369.992,202.029,147.384,279.415,76.986,244.92,250.214,297.804,229.683,228.568,355.596
9,"Darbhanga , Bihar, India",185.004,208.959,279.249,256.671,115.189,211.492,194.986,256.045,0,142.1,240.53,196.346,173.647,190.481,327.96,257.053,136.91,256.394,142.873,107.987,38.085,188.322,68.554,194.996,201.839,152.388,235.914,352.207,86.086,42.772,168.472,167.428,109.978,108.382,217.849,128.68,108.192,225.684
