2,11,10252
2,12,10252
2,13,10252
2,14,10252
2,15,10252
2,16,10252
2,17,13440
2,18,13440
2,19,13440
2,20,13440
2,21,13440
2,22,13440
2,23,13440
2,24,13440
2,25,13440
2,26,13440
2,27,13440
2,28,2240
2,41,13440
2,43,13440
2,44,13440
2,45,13440
2,48,13440
2,49,13440
2,59,13440
4,1,13440
4,2,13440
4,3,13440
4,4,13440
4,5,13440
4,6,13440
4,7,13440
4,8,13440
4,9,13440
4,10,13440
4,29,13440
4,30,13440
4,31,13440
4,32,13440
4,33,13440
4,34,13440
4,35,13440
4,36,13440
4,37,6574
4,38,13440
4,39,13440
4,40,13440
4,42,13440
4,46,13440
4,47,13440
4,50,13440
4,51,13440
4,52,13440
4,53,13440
4,54,13440
4,55,6574
4,56,4480
4,57,13440
4,58,13440
