i,j,t,demand
30,1,7,6648
30,1,8,6648
30,1,9,6648
30,1,10,6648
30,1,11,6648
30,1,12,6648
31,1,1,6648
31,1,2,6648
31,1,3,6648
31,1,4,6648
31,1,5,6648
31,1,6,6648
31,1,7,6648
31,1,8,6648
31,1,9,6648
31,1,10,6648
31,1,11,6648
31,1,12,6648
32,1,1,6648
32,1,2,6648
32,1,3,6648
32,1,4,6648
32,1,5,6648
32,1,6,6648
32,1,7,6648
32,1,8,6648
32,1,9,6648
32,1,10,6648
32,1,11,6648
32,1,12,6648
33,1,1,6648
33,1,2,6648
33,1,3,6648
33,1,4,6648
33,1,5,6648
33,1,6,6648
33,1,7,6648
33,1,8,6648
33,1,9,6648
33,1,10,6648
33,1,11,6648
33,1,12,6648
34,1,1,6648
34,1,2,6648
34,1,3,6648
34,1,4,6648
34,1,5,6648
34,1,6,6648
34,1,7,6648
34,1,8,6648
34,1,9,6648
34,1,10,6648
34,1,11,6648
34,1,12,6648
35,1,1,6648
35,1,2,6648
35,1,3,6648
35,1,4,6648
35,1,5,6648
35,1,6,6648
35,1,7,6648
35,1,8,6648
35,1,9,6648
35,1,10,6648
35,1,11,6648
35,1,12,6648
36,1,1,6648
36,1,2,6648
36,1,3,6648
36,1,4,6648
36,1,5,6648
36,1,6,6648
36,1,7,6648
36,1,8,6648
36,1,9,6648
36,1,10,6648
36,1,11,6648
36,1,12,6648
37,1,1,6648
37,1,2,6648
37,1,3,6648
37,1,4,6648
37,1,5,6648
37,1,6,6648
37,1,7,6648
37,1,8,6648
37,1,9,6648
37,1,10,6648
37,1,11,6648
37,1,12,6648
38,1,1,6648
38,1,2,6648
38,1,3,6648
38,1,4,6648
38,1,5,6648
38,1,6,6648
38,1,7,6648
38,1,8,6648
38,1,9,6648
38,1,10,6648
38,1,11,6648
38,1,12,6648
39,1,1,6648
39,1,2,6648
39,1,3,6648
39,1,4,6648
39,1,5,6648
39,1,6,6648
39,1,7,6648
39,1,8,6648
39,1,9,6648
39,1,10,6648
39,1,11,6648
39,1,12,6648
40,1,1,6648
40,1,2,6648
40,1,3,6648
40,1,4,6648
40,1,5,6648
40,1,6,6648
40,1,7,6648
40,1,8,6648
40,1,9,6648
40,1,10,6648
40,1,11,6648
40,1,12,6648
41,1,1,6129
41,1,2,6129
41,1,3,6129
41,1,4,6129
41,1,5,6129
41,1,6,6129
41,1,7,6129
41,1,8,6129
41,1,9,6129
41,1,10,6129
41,1,11,6129
41,1,12,6129
42,1,1,6129
42,1,2,6129
42,1,3,6129
42,1,4,6129
42,1,5,6129
42,1,6,6129
42,1,7,6129
42,1,8,6129
42,1,9,6129
42,1,10,6129
42,1,11,6129
42,1,12,6129
43,1,1,6129
43,1,2,6129
43,1,3,6129
43,1,4,6129
43,1,5,6129
43,1,6,6129
43,1,7,6129
43,1,8,6129
43,1,9,6129
43,1,10,6129
43,1,11,6129
43,1,12,6129
44,1,1,6129
44,1,2,6129
44,1,3,6129
44,1,4,6129
44,1,5,6129
44,1,6,6129
44,1,7,6129
44,1,8,6129
44,1,9,6129
44,1,10,6129
44,1,11,6129
44,1,12,6129
45,1,1,6129
45,1,2,6129
45,1,3,6129
45,1,4,6129
45,1,5,6129
45,1,6,6129
45,1,7,6129
45,1,8,6129
45,1,9,6129
45,1,10,6129
45,1,11,6129
45,1,12,6129
46,1,1,6129
46,1,2,6129
46,1,3,6129
46,1,4,6129
46,1,5,6129
46,1,6,6129
46,1,7,6129
46,1,8,6129
46,1,9,6129
46,1,10,6129
46,1,11,6129
46,1,12,6129
47,1,1,6129
47,1,2,6129
47,1,3,6129
47,1,4,6129
47,1,5,6129
47,1,6,6129
47,1,7,6129
47,1,8,6129
47,1,9,6129
47,1,10,6129
47,1,11,6129
47,1,12,6129
48,1,1,6129
48,1,2,6129
48,1,3,6129
48,1,4,6129
48,1,5,6129
48,1,6,6129
48,1,7,6129
48,1,8,6129
48,1,9,6129
48,1,10,6129
48,1,11,6129
48,1,12,6129
49,1,1,6129
49,1,2,6129
49,1,3,6129
49,1,4,6129
49,1,5,6129
49,1,6,6129
49,1,7,6129
49,1,8,6129
49,1,9,6129
49,1,10,6129
49,1,11,6129
49,1,12,6129
50,1,1,6129
50,1,2,6129
50,1,3,6129
50,1,4,6129
50,1,5,6129
50,1,6,6129
50,1,7,6129
50,1,8,6129
50,1,9,6129
50,1,10,6129
50,1,11,6129
50,1,12,6129
51,1,1,6129
51,1,2,6129
51,1,3,6129
51,1,4,6129
51,1,5,6129
51,1,6,6129
51,1,7,6129
51,1,8,6129
51,1,9,6129
51,1,10,6129
51,1,11,6129
51,1,12,6129
52,1,1,6129
52,1,2,6129
52,1,3,6129
52,1,4,6129
52,1,5,6129
52,1,6,6129
52,1,7,6129
52,1,8,6129
52,1,9,6129
52,1,10,6129
52,1,11,6129
52,1,12,6129
53,1,1,6129
53,1,2,6129
53,1,3,6129
53,1,4,6129
53,1,5,6129
53,1,6,6129
53,1,7,6129
53,1,8,6129
53,1,9,6129
53,1,10,6129
53,1,11,6129
53,1,12,6129
54,1,1,6129
54,1,2,6129
54,1,3,6129
54,1,4,6129
54,1,5,6129
54,1,6,6129
54,1,7,6129
54,1,8,6129
54,1,9,6129
54,1,10,6129
54,1,11,6129
54,1,12,6129
55,1,1,6129
55,1,2,6129
55,1,3,6129
55,1,4,6129
55,1,5,6129
55,1,6,6129
55,1,7,6129
55,1,8,6129
55,1,9,6129
55,1,10,6129
55,1,11,6129
55,1,12,6129
56,1,1,6129
56,1,2,6129
56,1,3,6129
56,1,4,6129
56,1,5,6129
56,1,6,6129
56,1,7,6129
56,1,8,6129
56,1,9,6129
56,1,10,6129
56,1,11,6129
56,1,12,6129
57,1,1,6129
57,1,2,6129
57,1,3,6129
57,1,4,6129
57,1,5,6129
57,1,6,6129
57,1,7,6129
57,1,8,6129
57,1,9,6129
57,1,10,6129
57,1,11,6129
57,1,12,6129
58,1,1,6129
58,1,2,6129
58,1,3,6129
58,1,4,6129
58,1,5,6129
58,1,6,6129
58,1,7,6129
58,1,8,6129
58,1,9,6129
58,1,10,6129
58,1,11,6129
58,1,12,6129
59,1,1,6129
59,1,2,6129
59,1,3,6129
59,1,4,6129
59,1,5,6129
59,1,6,6129
59,1,7,6129
59,1,8,6129
59,1,9,6129
59,1,10,6129
59,1,11,6129
59,1,12,6129
