i,j,t,demand
16,2,12,14
17,1,1,1525
17,1,2,1525
17,1,3,1525
17,1,4,1525
17,1,5,1525
17,1,6,1525
17,1,7,1525
17,1,8,1525
17,1,9,1525
17,1,10,1525
17,1,11,1525
17,1,12,1525
17,2,1,24
17,2,2,24
17,2,3,24
17,2,4,24
17,2,5,24
17,2,6,24
17,2,7,24
17,2,8,24
17,2,9,24
17,2,10,24
17,2,11,24
17,2,12,24
18,1,1,1525
18,1,2,1525
18,1,3,1525
18,1,4,1525
18,1,5,1525
18,1,6,1525
18,1,7,1525
18,1,8,1525
18,1,9,1525
18,1,10,1525
18,1,11,1525
18,1,12,1525
18,2,1,24
18,2,2,24
18,2,3,24
18,2,4,24
18,2,5,24
18,2,6,24
18,2,7,24
18,2,8,24
18,2,9,24
18,2,10,24
18,2,11,24
18,2,12,24
19,1,1,1525
19,1,2,1525
19,1,3,1525
19,1,4,1525
19,1,5,1525
19,1,6,1525
19,1,7,1525
19,1,8,1525
19,1,9,1525
19,1,10,1525
19,1,11,1525
19,1,12,1525
19,2,1,24
19,2,2,24
19,2,3,24
19,2,4,24
19,2,5,24
19,2,6,24
19,2,7,24
19,2,8,24
19,2,9,24
19,2,10,24
19,2,11,24
19,2,12,24
20,1,1,1525
20,1,2,1525
20,1,3,1525
20,1,4,1525
20,1,5,1525
20,1,6,1525
20,1,7,1525
20,1,8,1525
20,1,9,1525
20,1,10,1525
20,1,11,1525
20,1,12,1525
20,2,1,24
20,2,2,24
20,2,3,24
20,2,4,24
20,2,5,24
20,2,6,24
20,2,7,24
20,2,8,24
20,2,9,24
20,2,10,24
20,2,11,24
20,2,12,24
21,1,1,1525
21,1,2,1525
21,1,3,1525
21,1,4,1525
21,1,5,1525
21,1,6,1525
21,1,7,1525
21,1,8,1525
21,1,9,1525
21,1,10,1525
21,1,11,1525
21,1,12,1525
21,2,1,24
21,2,2,24
21,2,3,24
21,2,4,24
21,2,5,24
21,2,6,24
21,2,7,24
21,2,8,24
21,2,9,24
21,2,10,24
21,2,11,24
21,2,12,24
22,1,1,1525
22,1,2,1525
22,1,3,1525
22,1,4,1525
22,1,5,1525
22,1,6,1525
22,1,7,1525
22,1,8,1525
22,1,9,1525
22,1,10,1525
22,1,11,1525
22,1,12,1525
22,2,1,24
22,2,2,24
22,2,3,24
22,2,4,24
22,2,5,24
22,2,6,24
22,2,7,24
22,2,8,24
22,2,9,24
22,2,10,24
22,2,11,24
22,2,12,24
23,1,1,1525
23,1,2,1525
23,1,3,1525
23,1,4,1525
23,1,5,1525
23,1,6,1525
23,1,7,1525
23,1,8,1525
23,1,9,1525
23,1,10,1525
23,1,11,1525
23,1,12,1525
23,2,1,24
23,2,2,24
23,2,3,24
23,2,4,24
23,2,5,24
23,2,6,24
23,2,7,24
23,2,8,24
23,2,9,24
23,2,10,24
23,2,11,24
23,2,12,24
24,1,1,1525
24,1,2,1525
24,1,3,1525
24,1,4,1525
24,1,5,1525
24,1,6,1525
24,1,7,1525
24,1,8,1525
24,1,9,1525
24,1,10,1525
24,1,11,1525
24,1,12,1525
24,2,1,24
24,2,2,24
24,2,3,24
24,2,4,24
24,2,5,24
24,2,6,24
24,2,7,24
24,2,8,24
24,2,9,24
24,2,10,24
24,2,11,24
24,2,12,24
25,1,1,1525
25,1,2,1525
25,1,3,1525
25,1,4,1525
25,1,5,1525
25,1,6,1525
25,1,7,1525
25,1,8,1525
25,1,9,1525
25,1,10,1525
25,1,11,1525
25,1,12,1525
25,2,1,24
25,2,2,24
25,2,3,24
25,2,4,24
25,2,5,24
25,2,6,24
25,2,7,24
25,2,8,24
25,2,9,24
25,2,10,24
25,2,11,24
25,2,12,24
26,1,1,1525
26,1,2,1525
26,1,3,1525
26,1,4,1525
26,1,5,1525
26,1,6,1525
26,1,7,1525
26,1,8,1525
26,1,9,1525
26,1,10,1525
26,1,11,1525
26,1,12,1525
26,2,1,24
26,2,2,24
26,2,3,24
26,2,4,24
26,2,5,24
26,2,6,24
26,2,7,24
26,2,8,24
26,2,9,24
26,2,10,24
26,2,11,24
26,2,12,24
27,1,1,1525
27,1,2,1525
27,1,3,1525
27,1,4,1525
27,1,5,1525
27,1,6,1525
27,1,7,1525
27,1,8,1525
27,1,9,1525
27,1,10,1525
27,1,11,1525
27,1,12,1525
27,2,1,24
27,2,2,24
27,2,3,24
27,2,4,24
27,2,5,24
27,2,6,24
27,2,7,24
27,2,8,24
27,2,9,24
27,2,10,24
27,2,11,24
27,2,12,24
28,1,1,1525
28,1,2,1525
28,1,3,1525
28,1,4,1525
28,1,5,1525
28,1,6,1525
28,1,7,1525
28,1,8,1525
28,1,9,1525
28,1,10,1525
28,1,11,1525
28,1,12,1525
28,2,1,24
28,2,2,24
28,2,3,24
28,2,4,24
28,2,5,24
28,2,6,24
28,2,7,24
28,2,8,24
28,2,9,24
28,2,10,24
28,2,11,24
28,2,12,24
29,1,1,1221
29,1,2,1221
29,1,3,1221
29,1,4,1221
29,1,5,1221
29,1,6,1221
29,1,7,1221
29,1,8,1221
29,1,9,1221
29,1,10,1221
29,1,11,1221
29,1,12,1221
29,2,1,20
29,2,2,20
29,2,3,20
29,2,4,20
29,2,5,20
29,2,6,20
29,2,7,20
29,2,8,20
29,2,9,20
29,2,10,20
29,2,11,20
29,2,12,20
30,1,1,1221
30,1,2,1221
30,1,3,1221
30,1,4,1221
30,1,5,1221
30,1,6,1221
30,1,7,1221
30,1,8,1221
30,1,9,1221
30,1,10,1221
30,1,11,1221
30,1,12,1221
30,2,1,20
30,2,2,20
30,2,3,20
30,2,4,20
30,2,5,20
30,2,6,20
30,2,7,20
30,2,8,20
30,2,9,20
30,2,10,20
30,2,11,20
30,2,12,20
31,1,1,1221
31,1,2,1221
31,1,3,1221
31,1,4,1221
31,1,5,1221
31,1,6,1221
31,1,7,1221
31,1,8,1221
31,1,9,1221
31,1,10,1221
31,1,11,1221
31,1,12,1221
31,2,1,20
